% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.578322155e+02 +1.578322155e+02 +1.054822155e+02 +1.054822155e+02 +4.4157e+00 -9.3906e-01 +1.0440e+00 -4.3633e+00 -4.8858e+00 +2.0268e+00 -3.6209e-02 -3.9256e-01 -3.6995e+00 +2.6497e+00 -4.6328e+00 +2.8828e+00 -3.0266e+00 -4.0064e+00 +2.9453e+00 +4.1081e-01 +4.3313e+00 -6.3286e-02 +3.4403e+00 -6.3945e-01
5 +9.704364454e+01 +9.704364454e+01 +4.469364454e+01 +4.469364454e+01 -2.9832e+00 -2.1993e+00 -4.8560e+00 +2.9724e+00 +1.6771e+00 +2.4826e+00 -6.3340e-01 +1.5373e+00 +1.2330e+00 +2.4496e+00 -3.4226e-01 -1.5199e+00 -2.9490e+00 -4.7868e-01 +3.1631e-01 -2.4029e+00 +3.4755e-01 -4.6874e+00 +1.3186e+00 -7.0791e-01
24 +4.710481422e+01 +4.710481422e+01 -5.245185781e+00 -5.245185781e+00 +6.7426e-01 -4.8586e+00 -1.8147e+00 -1.8522e+00 +2.5688e+00 -2.6867e+00 -1.8543e+00 +5.0852e-01 +1.6110e+00 +6.7890e-01 +3.8881e-01 +7.3338e-02 +1.7774e+00 -2.8609e+00 -4.1018e+00 +2.3822e+00 -1.7962e+00 +4.4029e+00 +2.7357e+00 -8.4014e-01
% function evaluation | noise-free fitness - Fopt (-1.795400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.416754966e+02 +1.416754966e+02 -3.786450342e+01 -3.786450342e+01 -8.7654e-01 +1.9066e+00 -6.0129e-01 +1.5167e-01 +4.1052e+00 +1.6379e+00 +1.3003e+00 -1.5627e+00 +2.6394e+00 +4.3552e+00 +4.6992e+00 -3.3363e+00 -2.3754e+00 -8.0624e-01 +4.0387e+00 +1.2147e+00 -9.5739e-01 +3.6668e+00 -1.7419e+00 +1.1125e-02
14 +7.734363168e+01 +7.734363168e+01 -1.021963683e+02 -1.021963683e+02 +4.8872e+00 -1.8872e+00 -1.5295e+00 +3.0116e+00 +4.2905e+00 +1.8324e+00 -4.7859e+00 -2.5282e+00 -4.5417e+00 +4.6726e+00 -4.7763e+00 +3.8103e+00 +6.4421e-01 +2.1792e-01 +3.1503e-01 -1.0391e+00 +4.0505e+00 +8.2619e-01 +1.9600e+00 +1.4984e+00
24 +5.284460206e+01 +5.284460206e+01 -1.266953979e+02 -1.266953979e+02 -8.5099e-01 +4.6966e+00 -3.0227e+00 -1.8632e+00 +5.4537e-01 -4.0922e+00 +3.2250e+00 +4.1134e+00 +1.5534e+00 -2.5115e+00 -3.5486e+00 +2.0541e+00 -4.9921e+00 -3.4323e+00 +3.5307e+00 +6.5054e-02 -1.3335e-01 +4.9934e+00 -9.3975e-01 -1.4889e+00
26 +3.961851496e+01 +3.961851496e+01 -1.399214850e+02 -1.399214850e+02 -2.1083e+00 -1.2579e-01 +6.3109e-01 +5.9155e-01 +3.9020e+00 +3.4416e+00 +8.7880e-01 +3.6162e+00 -4.1524e-01 -4.2000e+00 -1.4067e-01 +3.8619e+00 -4.1920e+00 +3.1545e+00 -1.2090e+00 +1.4972e-01 +4.4497e+00 +3.4427e+00 +3.0970e+00 +9.3271e-01
% function evaluation | noise-free fitness - Fopt (7.731000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.694011361e+02 +3.694011361e+02 +4.467111361e+02 +4.467111361e+02 -2.3796e+00 -3.3953e-01 -2.1903e+00 -1.8271e+00 +4.3819e+00 -4.6403e+00 -3.7782e+00 -4.8420e+00 -1.3831e+00 +1.0910e+00 +1.9835e+00 +3.1928e+00 +4.1518e+00 +2.5218e-01 -5.2493e-01 +2.7921e+00 +2.3200e+00 +1.8742e+00 -4.8917e+00 -2.2537e+00
