% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.062691356e+02 +1.062691356e+02 +1.776191356e+02 +1.776191356e+02 +1.8953e+00 +2.7708e+00 +1.2742e+00 -4.1243e+00 +2.8749e+00 +1.0312e-01 +3.3478e+00 +1.4112e-02 +4.8657e+00 -1.9866e+00 -4.4226e+00 +2.5314e+00 +1.2052e+00 -2.1395e+00 +1.8998e+00 -1.8119e+00 +3.4453e+00 -2.9343e+00 +2.1361e+00 +4.1752e+00
2 +8.808418769e+01 +8.808418769e+01 +1.594341877e+02 +1.594341877e+02 +2.7576e+00 +4.7804e+00 -3.0803e+00 -4.3739e+00 -9.1416e-01 +1.5862e+00 +1.7904e+00 +4.8220e+00 -3.6577e+00 -1.0937e+00 +4.1475e+00 -2.5281e+00 +3.5844e+00 -4.1982e+00 +4.2148e+00 +3.3982e+00 -4.9736e+00 -4.2080e+00 -1.3690e+00 -3.9433e+00
6 +3.938499881e+01 +3.938499881e+01 +1.107349988e+02 +1.107349988e+02 +2.2173e+00 -2.3456e+00 +2.5044e+00 +3.2013e+00 +4.0995e+00 -4.4785e+00 +2.8672e+00 -2.2304e+00 -3.7624e+00 -9.0392e-01 +3.0686e+00 -3.5780e+00 +4.1348e+00 +4.6448e-01 +2.4415e-01 +8.9308e-02 +3.1863e+00 +6.4051e-01 +6.4705e-01 +2.6173e+00
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.621296971e+01 +8.621296971e+01 -2.690070303e+02 -2.690070303e+02 +4.1904e+00 -3.6160e+00 -3.5355e+00 -3.4564e+00 +3.3139e+00 -1.9216e+00 -5.5397e-02 +1.4737e+00 -2.7017e+00 -5.2622e-01 +2.1558e+00 -7.5036e-01 -4.0409e+00 +4.1893e+00 +6.4946e-01 -2.3194e+00 +2.2070e-01 +4.3378e+00 -3.3884e+00 +3.6897e+00
2 +4.675942318e+01 +4.675942318e+01 -3.084605768e+02 -3.084605768e+02 +1.6795e+00 -1.1319e+00 -2.5312e+00 -4.7174e+00 +4.6566e-01 +4.5204e+00 -1.4683e+00 +2.9748e+00 -3.9156e+00 +4.8521e+00 -2.7265e+00 -2.5159e+00 +4.5646e-01 -6.1674e-01 +2.4162e+00 +1.9322e-01 +4.0615e+00 +2.2960e+00 -4.1958e+00 +1.0882e+00
13 +3.972577965e+01 +3.972577965e+01 -3.154942204e+02 -3.154942204e+02 -1.2626e+00 -2.3622e+00 +3.8670e+00 -4.9732e-01 +1.6728e+00 -1.2804e+00 +2.9521e+00 -4.7214e-01 +3.2904e+00 -1.9583e+00 +4.6421e+00 -2.4963e+00 -8.4260e-01 -2.4798e-01 +1.7532e+00 -4.8191e+00 -4.0280e+00 -2.6284e+00 +2.9443e+00 -4.5212e+00
% function evaluation | noise-free fitness - Fopt (9.917000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.964141814e+01 +9.964141814e+01 +1.988114181e+02 +1.988114181e+02 -1.5323e+00 +3.7411e+00 -3.5634e+00 -3.8656e+00 -1.1080e+00 -7.6207e-01 -2.8634e+00 +3.0369e+00 +7.1952e-01 -2.8017e+00 +9.2073e-01 +2.8016e+00 +9.3904e-01 -1.0799e+00 +2.2502e+00 -6.0174e-01 -1.3157e+00 -4.6238e+00 +4.1181e+00 -1.3211e+00
9 +5.421952585e+01 +5.421952585e+01 +1.533895258e+02 +1.533895258e+02 +3.3290e+00 +1.9395e+00 +3.1065e+00 -4.1587e+00 +1.8066e+00 -1.5706e+00 +4.3555e+00 -4.9993e+00 -3.6900e+00 +4.0713e+00 -4.6510e+00 -2.4473e+00 -2.2850e+00 -1.3996e+00 +1.5080e+00 -2.3446e+00 -2.7277e+00 +1.1838e+00 -2.2627e+00 +4.4746e+00
48 +3.945559136e+01 +3.945559136e+01 +1.386255914e+02 +1.386255914e+02 +4.6616e+00 +4.4374e+00 +1.0983e+00 -5.9119e-01 +4.2439e+00 -4.7063e+00 -4.9790e-02 -4.0827e-01 -1.4394e+00 -1.0499e+00 +3.5580e+00 -3.7899e-01 -2.4262e+00 -3.8690e+00 -3.5850e+00 -4.7993e-01 -2.2641e+00 -1.5291e+00 +2.5108e+00 -4.6260e+00
% function evaluation | noise-free fitness - Fopt (-5.179100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.818415772e+01 +7.818415772e+01 -4.397258423e+02 -4.397258423e+02 -3.0285e+00 +1.1174e+00 +3.6675e-02 +2.4992e-01 +4.7441e+00 +2.0327e+00 +1.6307e+00 -3.1564e+00 +6.0231e-02 +3.8299e+00 +5.0144e-01 -4.5108e+00 -2.1876e+00 -3.9071e+00 -1.8024e+00 -1.8504e-01 -2.5552e-01 +3.4335e+00 -5.2529e-01 +2.3108e+00
2 +5.851571360e+01 +5.851571360e+01 -4.593942864e+02 -4.593942864e+02 -2.0019e+00 +1.3852e-01 -1.7297e+00 -4.3865e+00 +1.6565e-01 +2.1734e+00 -1.4833e+00 +2.6210e+00 -4.2427e+00 -3.2242e+00 -2.8657e+00 -1.8744e+00 +4.0441e-01 -1.2698e+00 -4.5100e+00 +1.5377e+00 -1.2987e+00 +3.5393e+00 -6.5048e-01 -2.4573e+00
86 +3.888701741e+01 +3.888701741e+01 -4.790229826e+02 -4.790229826e+02 -2.4206e+00 -4.2231e+00 +4.6144e+00 +3.3726e-01 +2.1119e+00 +3.9709e+00 -3.1376e+00 +1.8894e+00 +4.8283e+00 +2.2976e+00 +7.9460e-01 -3.1007e+00 -4.1597e+00 -2.6325e+00 +8.7326e-01 -2.8991e+00 -2.6992e+00 -2.1556e+00 -3.2968e+00 -6.4359e-01
% function evaluation | noise-free fitness - Fopt (-5.721000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.801353387e+01 +3.801353387e+01 -1.919646613e+01 -1.919646613e+01 -2.8992e+00 -4.5042e+00 +4.3160e+00 +1.1539e+00 +1.3504e+00 +2.2266e+00 -3.7784e+00 +3.9433e+00 +1.6541e+00 +3.3930e+00 -3.6173e+00 -4.1423e-01 +3.3921e+00 +1.2387e+00 -1.7341e+00 -4.2940e+00 -3.9260e+00 -2.5439e-01 +4.0630e+00 +1.5382e+00
% function evaluation | noise-free fitness - Fopt (6.770000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.268070526e+01 +4.268070526e+01 +4.945070526e+01 +4.945070526e+01 +2.1007e+00 +2.1584e+00 +3.9935e+00 -3.6587e+00 +5.5553e-01 +1.8117e+00 -1.3089e+00 -3.1225e+00 +9.5619e-01 +1.0038e+00 -1.3924e+00 +1.4940e+00 -1.8126e+00 +2.2412e+00 +2.6544e+00 +4.1591e+00 +4.2923e+00 +1.0438e+00 +4.5706e+00 +3.3304e+00
20 +1.898079611e+01 +1.898079611e+01 +2.575079611e+01 +2.575079611e+01 -1.0046e+00 +2.1983e+00 +4.2377e+00 -3.1827e+00 +3.2060e+00 +2.2073e+00 -2.6524e+00 -1.3133e+00 +3.8851e+00 +4.5650e+00 -1.5392e+00 -1.2795e+00 -2.7954e+00 -3.1476e+00 +4.3953e+00 +2.0919e+00 -4.3766e+00 -2.1684e+00 +4.8749e+00 -2.1322e+00
% function evaluation | noise-free fitness - Fopt (-1.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.822522558e+01 +5.822522558e+01 +4.744522558e+01 +4.744522558e+01 -1.9039e+00 +4.5294e+00 +7.9246e-01 +1.0387e+00 +3.9361e+00 -3.1717e+00 -2.3763e-01 -1.4880e+00 +4.1370e-01 +8.5142e-01 -3.8800e+00 -4.7098e+00 +7.4903e-01 +3.9947e+00 +4.9866e+00 -4.6211e+00 -3.0479e+00 -4.6106e+00 -1.3185e+00 +2.3348e+00
14 +3.975647854e+01 +3.975647854e+01 +2.897647854e+01 +2.897647854e+01 -9.8338e-01 -3.5425e+00 +2.7374e+00 +3.1632e+00 -2.6761e+00 +1.8935e+00 +2.1975e+00 +7.5640e-01 -3.7148e+00 -1.8090e-01 +1.5011e+00 +1.1701e+00 +2.8743e+00 +3.9120e+00 +3.7601e+00 -3.4389e+00 +1.0771e+00 -3.1085e+00 +3.7787e+00 +3.4938e+00
% function evaluation | noise-free fitness - Fopt (-1.645900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.581751533e+01 +5.581751533e+01 -1.087724847e+02 -1.087724847e+02 -1.7313e+00 -4.1236e-01 +4.5971e+00 +4.8041e+00 +3.3796e+00 -3.3065e+00 -1.0985e+00 +4.3509e-02 +4.6271e+00 +2.3975e+00 +4.2823e+00 -2.8199e+00 -2.8355e+00 +3.5048e+00 -1.5232e+00 +4.0330e+00 -3.3893e+00 -2.9433e+00 -4.6285e+00 +3.9443e+00
% function evaluation | noise-free fitness - Fopt (-1.429800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.390960991e+01 +5.390960991e+01 -8.907039009e+01 -8.907039009e+01 -1.6729e+00 -4.5710e+00 +1.0207e+00 -2.8351e+00 +4.1044e+00 +4.1375e+00 +1.5665e+00 -4.8577e+00 +2.0527e+00 +4.9466e+00 -3.3955e+00 -3.7271e+00 -2.9368e+00 +4.8066e+00 +2.8667e+00 +1.9686e+00 -4.8515e+00 +1.8068e+00 +1.4745e+00 -3.9292e-01
34 +3.222636477e+01 +3.222636477e+01 -1.107536352e+02 -1.107536352e+02 +3.5786e+00 -1.5622e+00 +2.3952e+00 -5.6743e-02 -9.7199e-01 +2.7571e+00 +1.2885e+00 -1.9293e+00 +3.7785e+00 -2.4403e+00 -3.8221e+00 +3.8979e+00 +4.2465e+00 -4.0049e-01 -1.0544e+00 -4.0790e+00 +1.4014e+00 +6.3899e-01 +2.3867e+00 -4.8355e+00
% function evaluation | noise-free fitness - Fopt (2.468600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.733293288e+01 +7.733293288e+01 +3.241929329e+02 +3.241929329e+02 +9.0507e-01 -7.3061e-02 +2.0339e+00 -7.8011e-01 -1.1904e+00 -1.9408e+00 -3.0569e+00 -3.2826e+00 +2.1547e+00 +4.9753e+00 -3.5282e+00 +4.2153e-01 +3.8859e+00 -2.6691e+00 -4.4549e+00 -3.4706e+00 +4.8232e+00 +2.3959e-01 +1.3530e+00 -3.8632e+00
2 +5.411082202e+01 +5.411082202e+01 +3.009708220e+02 +3.009708220e+02 -3.6172e+00 -1.7703e+00 -2.1492e+00 -1.9223e+00 +3.9665e+00 -4.5661e+00 -1.0384e+00 -1.0593e+00 +3.6252e+00 +3.9516e+00 +2.3481e+00 -2.1188e+00 -2.1405e+00 -2.5820e+00 -3.0524e-01 -3.1606e+00 -3.6971e+00 +4.1737e+00 -3.5897e+00 +3.7888e+00
11 +3.777148292e+01 +3.777148292e+01 +2.846314829e+02 +2.846314829e+02 -3.8254e+00 +2.8935e+00 +3.6848e+00 +4.8918e+00 -1.4403e+00 +3.1701e+00 -3.5898e+00 -3.3673e+00 -4.1999e+00 -1.7369e+00 +3.5522e+00 -1.9366e+00 -3.8876e+00 +3.3652e+00 +3.1823e+00 -1.2330e+00 +1.3772e+00 +1.7116e+00 -3.3248e+00 -7.9911e-01
% function evaluation | noise-free fitness - Fopt (1.392300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.563971009e+01 +6.563971009e+01 +2.048697101e+02 +2.048697101e+02 +5.6296e-01 +2.1452e+00 -4.9975e+00 +4.8567e+00 -4.2586e+00 +1.0007e-02 +2.5031e+00 -1.8535e+00 +1.8068e+00 +1.9190e-01 +3.4544e+00 -4.4580e+00 +1.8693e+00 -3.1376e+00 +3.6004e+00 +2.9213e+00 -1.2682e+00 -4.9114e+00 -1.6753e+00 +3.1990e+00
